MP_URL,accessibleAt_status,checked_URLs,persistentId
https://marketplace.sshopencloud.eu/tool-or-service/VrpVSA,404.0,['http://www.vela.com/ProductDocumentation/CC%20Viewer.pdf'],VrpVSA
https://marketplace.sshopencloud.eu/tool-or-service/UuWKL0,,[],UuWKL0
https://marketplace.sshopencloud.eu/tool-or-service/cXSqDf,,[],cXSqDf
https://marketplace.sshopencloud.eu/tool-or-service/iFzshl,,[],iFzshl
https://marketplace.sshopencloud.eu/tool-or-service/5n2OdN,,[],5n2OdN
https://marketplace.sshopencloud.eu/tool-or-service/o2X2Sl,,[],o2X2Sl
https://marketplace.sshopencloud.eu/tool-or-service/HdX4Co,,[],HdX4Co
https://marketplace.sshopencloud.eu/tool-or-service/Hfxm0S,,[],Hfxm0S
https://marketplace.sshopencloud.eu/tool-or-service/Gt1wsh,503.0,['http://hyperstudio.mit.edu/software/chronos-timeline/'],Gt1wsh
https://marketplace.sshopencloud.eu/tool-or-service/fhIJVa,,[],fhIJVa
https://marketplace.sshopencloud.eu/tool-or-service/ZffcWN,,[],ZffcWN
https://marketplace.sshopencloud.eu/tool-or-service/pNS3UD,,[],pNS3UD
https://marketplace.sshopencloud.eu/tool-or-service/XYWXCZ,403.0,['https://www.citavi.com/en'],XYWXCZ
https://marketplace.sshopencloud.eu/tool-or-service/7VTCID,,[],7VTCID
https://marketplace.sshopencloud.eu/tool-or-service/eElXqu,403.0,['http://www.citeulike.org/'],eElXqu
https://marketplace.sshopencloud.eu/tool-or-service/0BNuGH,503.0,['https://teaching.clariah.de/search/'],0BNuGH
https://marketplace.sshopencloud.eu/tool-or-service/zCOdxD,404.0,['https://vocabs.sshopencloud.eu/vocabularies/sshocmm/en/'],zCOdxD
https://marketplace.sshopencloud.eu/tool-or-service/9EDmNR,,[],9EDmNR
https://marketplace.sshopencloud.eu/tool-or-service/TL508y,,[],TL508y
https://marketplace.sshopencloud.eu/tool-or-service/hSGFem,,[],hSGFem
https://marketplace.sshopencloud.eu/tool-or-service/TCIrvm,404.0,['https://portal.clarin.nl/node/4226'],TCIrvm
https://marketplace.sshopencloud.eu/tool-or-service/Gtm3BN,,[],Gtm3BN
https://marketplace.sshopencloud.eu/tool-or-service/tf8rEi,,[],tf8rEi
https://marketplace.sshopencloud.eu/tool-or-service/m5jJ5s,,[],m5jJ5s
https://marketplace.sshopencloud.eu/tool-or-service/hMs5EQ,503.0,['https://cat.texifter.com/'],hMs5EQ
https://marketplace.sshopencloud.eu/tool-or-service/jdPIXl,,[],jdPIXl
https://marketplace.sshopencloud.eu/tool-or-service/mfI2Ri,503.0,['http://www.hd.uib.no/humdata/2-91/robin.htm'],mfI2Ri
https://marketplace.sshopencloud.eu/tool-or-service/V9dMl6,,[],V9dMl6
https://marketplace.sshopencloud.eu/tool-or-service/6XYtGf,408.0,['https://collocationary.com/'],6XYtGf
https://marketplace.sshopencloud.eu/tool-or-service/qn6meX,,[],qn6meX
https://marketplace.sshopencloud.eu/tool-or-service/90Pnyy,503.0,['http://projects.oucs.ox.ac.uk/runcoco/index.html'],90Pnyy
https://marketplace.sshopencloud.eu/tool-or-service/dfDk1h,403.0,['http://compfight.com/'],dfDk1h
https://marketplace.sshopencloud.eu/tool-or-service/O3dRJB,408.0,['https://www.comphistsem.org/home.html'],O3dRJB
https://marketplace.sshopencloud.eu/tool-or-service/yr2VIv,403.0,['https://benjamins.com/catalog/cls.1'],yr2VIv
https://marketplace.sshopencloud.eu/tool-or-service/7w95ah,,[],7w95ah
https://marketplace.sshopencloud.eu/tool-or-service/HZVQDa,408.0,['http://oak.conncoll.edu/cohar/Programs.htm'],HZVQDa
https://marketplace.sshopencloud.eu/tool-or-service/G4iyld,404.0,['http://zil.ipipan.waw.pl/DependencyParser'],G4iyld
https://marketplace.sshopencloud.eu/tool-or-service/x3mn2r,503.0,['http://iis.ipipan.waw.pl/2008/proceedings/iis08-20.pdf'],x3mn2r
https://marketplace.sshopencloud.eu/tool-or-service/99qQcc,404.0,['http://www.ickn.org/ckntools.html'],99qQcc
https://marketplace.sshopencloud.eu/tool-or-service/gXGKMW,408.0,"['https://github.com/coneda/kor', 'https://de.dariah.eu/en/conedakor']",gXGKMW
https://marketplace.sshopencloud.eu/tool-or-service/Jv0TkC,,[],Jv0TkC
https://marketplace.sshopencloud.eu/tool-or-service/pjsfLV,403.0,['https://tulengua.iatext.ulpgc.es/conjugate-verb/'],pjsfLV
